date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:11	3763/3763	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202013%2018:51:47%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1596.67105138_sq_thumb_s.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1596.67105138_sq_thumb_s.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:03:15	68049/68049	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202013%2018:25:43%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1599.67102539_large.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1599.67102539_large.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:03:16	3602/3602	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202013%2022:06:16%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/20130303_0108161.67140611_sq_thumb_s.jpg	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/20130303_0108161.67140611_sq_thumb_s.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:03:17	125029/125029	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202013%2018:21:47%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1598.67102143_large.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1598.67102143_large.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:03:18	3979/3979	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202013%2022:07:24%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/20130303_0108281.67140720_sq_thumb_s.jpg	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/20130303_0108281.67140720_sq_thumb_s.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:03:25	124089/124089	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202013%2018:51:42%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1596.67105138_large.JPG	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/IMG_1596.67105138_large.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:03:26	3864/3864	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202013%2022:09:27%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/20130303_003232_resized1.67140925_sq_thumb_s.jpg	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/20130303_003232_resized1.67140925_sq_thumb_s.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:03:31	126441/126441	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202013%2022:06:13%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/20130303_0108161.67140611_large.jpg	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/20130303_0108161.67140611_large.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:03:32	4146/4146	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202013%2022:10:32%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/20130303_0108231.67141028_sq_thumb_s.jpg	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/20130303_0108231.67141028_sq_thumb_s.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:03:39	144467/144467	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202013%2022:07:22%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/20130303_0108281.67140720_large.jpg	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/20130303_0108281.67140720_large.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:03:41	140538/140538	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202013%2022:09:26%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/20130303_003232_resized1.67140925_large.jpg	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/20130303_003232_resized1.67140925_large.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
15:03:44	74991/74991	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2009:35:53%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/Saturday_Specials_Oct_1_2016_3.27123550_std.jpg	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/Saturday_Specials_Oct_1_2016_3.27123550_std.jpg	(from http://www.cruizersbarandgrill.com/monthly_dine_in_specials)
15:03:51	153045/153045	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202013%2022:10:30%20GMT	http://www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/20130303_0108231.67141028_large.jpg	/home/maskoken/Documents/code/cruizers/www.cruizersbarandgrill.com/yahoo_site_admin/assets/images/20130303_0108231.67141028_large.jpg	(from http://www.cruizersbarandgrill.com/home_page/cruizers_photos)
